match_id,date,group,stage,match,team1,team2,time,venue,category,reason,score_team1,score_team2,winner,group_rank_team1,group_rank_team2,points_team1,points_team2,GF_team1,GF_team2,GA_team1,GA_team2,GD_team1,GD_team2,team1_slot,team2_slot,confirmed
38,22/06/2026,Group G,group stage,Belgium vs IR Iran,Belgium,IR Iran,0:00,Los Angeles Stadium,Optional,"A fading Belgian golden generation meets Iran's survival-first discipline Ã¢ÂÂ quality gap exists but tempo risk is low | Belgium under Garcia rely on De Bruyne's passing range and attacking presence to break low blocks, but their recurring tournament pattern of slow starts and blunt finishing against deep defensive structures remains their biggest concern. Iran under Ghalenoei are compact, physical, and set up to frustrate Ã¢ÂÂ with Taremi as the lone elite outlet for transitions and set piece situations. The tactical issue is asymmetry of intent Ã¢ÂÂ Belgium want to control and eventually break a deep block, Iran want to compress space and drag the match into low-event territory. Does De Bruyne's creativity find the right moment to unlock Iran's structure, or does disciplined compactness frustrate Belgian quality long enough to make this genuinely uncomfortable?",0,0,Draw,1,3,5,3,6,3,2,3,4,0,Belgium,IR Iran,
39,22/06/2026,Group H,group stage,Uruguay vs Cabo Verde,Uruguay,Cabo Verde,3:00,Miami Stadium,Skip,"A game where elite chaos theory meets disciplined minnows, a controlled experiment with limited volatility ceiling | Uruguay under Bielsa bring intense high-pressing, vertical attacking, and constant turnover hunting, but internal squad friction and finishing inconsistency create unpredictability in their own attacking execution. Cape Verde are extremely organized and emotionally cohesive, but their attacking output is limited and heavily reliant on set pieces and transition luck. The structural mismatch suggests Uruguay's pressing intensity will test Cape Verde's defensive organization for long spells. One direction is Uruguay's press overwhelming Cape Verde's structure early and converting control into goals, the other is Cape Verde's defensive cohesion absorbing pressure long enough for isolated dead-ball moments to create genuine tension.",2,2,Draw,3,2,2,3,3,2,4,2,-1,0,Uruguay,Cabo Verde,
40,22/06/2026,Group G,group stage,New Zealand vs Egypt,New Zealand,Egypt,6:00,BC Place Vancouver,Optional,"EgyptÃ¢ÂÂs defensive structure built around Salah vs New ZealandÃ¢ÂÂs low-resistance, counter-focused setup, making this more of a functional efficiency than real tactical fireworks | Egypt under Hossam Hassan are extremely compact, conceding just two goals in qualifying and leaning heavily on Salah and Marmoush for moments of individual quality rather than sustained attacking flow. Their games often trend toward controlled, low-scoring patterns unless early breakthroughs happen. New Zealand under Bazeley are disciplined in a 4-2-3-1 but lack elite-level press resistance and attacking variation outside Chris WoodÃ¢ÂÂs finishing threat. The matchup leans heavily toward Egypt territorial dominance with New Zealand sitting deep and hoping for set pieces or isolated counters, making the game structurally predictable unless EgyptÃ¢ÂÂs attack misfires.",1,3,Egypt,4,2,1,5,4,5,10,3,-6,2,New Zealand,Egypt,
41,22/06/2026,Group J,group stage,Argentina vs Austria,Argentina,Austria,22:00,Dallas Stadium,Worth Watching,"World champions meet Austria's relentless gegenpress. On paper Argentina win, but Austria turn comfortable fixtures into messy, uncomfortable football | Argentina still carry elite match-winners in Messi, Lautaro MartÃÂ­nez, and JuliÃÂ¡n ÃÂlvarez, but the structure relies heavily on Messi's creative involvement and defensive solidity holding under sustained pressure. Austria under Rangnick press aggressively through Sabitzer-led midfield rotations, aiming to force turnovers rather than outplay possession-heavy phases. The mismatch is ceiling, Argentina have decisive talent in knockout moments, Austria have system pressure but limited elite finishing edge. Does Argentina's individual quality absorb Austria's press and impose champion's control Ã¢ÂÂ or does the gegenpress break their first line and turn this into the chaotic transition game Argentina least enjoy?",2,0,Argentina,1,2,9,4,8,6,1,6,7,0,Argentina,Austria,
42,23/06/2026,Group I,group stage,France vs Iraq,France,Iraq,2:00,hiladelphia Stadium,Optional,"Star power meets survival mode Ã¢ÂÂ France are built to dismantle elite opponents, but Iraq's compact underdog structure could turn this into a patience test | France arrive with arguably the deepest attacking pool in world football, led by Mbappe, DembÃÂ©lÃÂ©, and Olise, with a 4-2-3-1 structure giving clearer lines between midfield and attack than previous tournaments. Iraq under Graham Arnold are not built to compete in open football Ã¢ÂÂ the 4-4-2 low block plus counter-attacking intent is designed to compress space and force France into sterile possession phases. Iraq's defensive discipline could compress the match into isolated chance creation rather than sustained French dominance. Does France's individual quality find the breakthrough before patience runs out Ã¢ÂÂ or does Iraq's survival structure drag this into a low-event game that tests French composure throughout?",3,0,France,1,4,9,0,10,1,2,12,8,-11,France,Iraq,
43,23/06/2026,Group I,group stage,Norway vs Senegal,Norway,Senegal,5:00,New York New Jersey Stadium,Worth Watching,"Star power vs African steel. NorwayÃ¢ÂÂs Haaland-led scoring frenzy meets a Senegal side built to ruin rhythm and punish impatience | ÃÂ Norway are basically a finishing system built around Erling Haaland, with elite services from Martin Odegaard turning chances into volume scoring. Senegal bring a 4-3-3 compact block, elite physical duels, and transition threat through wide runners, built to absorb pressure then strike quickly. The game is set to be a low-margin, set-piece and transition battle rather than a scoring showcase.",3,2,Norway,2,3,6,3,8,8,7,6,1,2,Norway,Senegal,
44,23/06/2026,Group J,group stage,Jordan vs Algeria,Jordan,Algeria,8:00,San Francisco Bay Area Stadium,Optional,"The match offers a direct contrast of chaos vs control where JordanÃ¢ÂÂs counter punch debut energy meets AlgeriaÃ¢ÂÂs technical firepower & pedigree in a match that can swing anywhere | Jordan are a low-possession, counter-attacking side built on a compact 3-4-3/5-4-1 shape, relying on quick vertical breaks through wide runners like Musa Al-Tamari. Algeria under Vladimir Petkovi? bring far more control in midfield, with creative outlets like Riyad Mahrez and Mohamed Amoura capable of breaking compact blocks. The game offers both sides crucial points, and for those, teams can tend to be safe, making the game a cagey, low scoring affair",1,2,Algeria,4,3,0,4,3,5,8,7,-5,-2,Jordan,Algeria,
45,23/06/2026,Group K,group stage,Portugal vs Uzbekistan,Portugal,Uzbekistan,22:00,Houston Stadium,Optional,"Portugal's possession machine meets Uzbekistan's Cannavaro-built low block Ã¢ÂÂ a classic break the deep line or suffer frustration test | Portugal rely on possession dominance through Bruno Fernandes and Vitinha's midfield engine, with Ronaldo's finishing presence and wide overloads providing the attacking threat Ã¢ÂÂ but their biggest structural weakness is patience against deep defensive blocks where central space is congested and attacks become cross-heavy rather than penetrative. Uzbekistan under Cannavaro are built exactly for that scenario Ã¢ÂÂ a 5-4-1 low block, compact spacing, and direct transitions rather than sustained possession. The tactical question is whether Portugal's creativity finds the right moment to unlock a disciplined defensive shape. Does Bruno Fernandes' range-finding break the block before frustration sets in Ã¢ÂÂ or does Uzbekistan's compactness drag this into a slow recycling game with limited penetration?",5,0,Portugal,2,4,5,0,6,2,1,11,5,-9,Portugal,Uzbekistan,
46,24/06/2026,Group L,group stage,England vs Ghana,England,Ghana,1:00,Boston Stadium,Optional,"EnglandÃ¢ÂÂs creative attack meets GhanaÃ¢ÂÂs athleticism in a matchup with flashes of excitement but limited sustained tension | England calls on creators like Jude Bellingham, Phil Foden, and Bukayo Saka to control attacking phases, while Ghana bring pace, physicality, and dangerous transition runners that can punish mistakes. GhanaÃ¢ÂÂs counterattacking threat keeps the match interesting, but EnglandÃ¢ÂÂs superior control in possession often reduces long stretches into defensive containment rather than continuous back-and-forth action, keeping the entertainment ceiling in the middle tier.",0,0,Draw,1,3,7,4,6,2,2,2,4,0,England,Ghana,
47,24/06/2026,Group L,group stage,Panama vs Croatia,Panama,Croatia,4:00,Toronto Stadium,Worth Watching,"A game of experience vs efficiency where CroatiaÃ¢ÂÂs tournament-hardened midfield meets a Panama side built on structure, discipline, and set-piece chaos | ÃÂ Croatia remain one of the most tactically mature sides in world football, driven by control through midfield and game management around veterans like Luka Modric and structured support from technical operators like Mateo Kovacic where Panama under Thomas Christiansen are compact, structured, and comfortable without the ball, relying heavily on transitions and set pieces rather than sustained attacking phases. This becomes a low-margin tactical grind rather than a comfortable possession exhibition.",0,1,Croatia,4,2,0,6,0,5,4,5,-4,0,Panama,Croatia,
48,24/06/2026,Group K,group stage,Colombia vs Congo DR,Colombia,Congo DR,7:00,Estadio Guadalajara,Skip,"Quality mismatch may be on paper, but not on narrative. A game where ColombiaÃ¢ÂÂs elite transitions and star-driven attack face a DR Congo side built to survive first, then counter with discipline and desperation | Colombia rely heavily on the creative gravity of James Rodriguez and the direct explosiveness of Luis Diaz, with transitions forming their main attacking weapon rather than sustained territorial control. DR Congo under SÃÂ©bastien Desabre are structured, defensively improved, and built around compact organization plus counter-attacks led by Cedric Bakambu. The game appears too tipped towards Colombia, with Congo appearing as dark horses for them",1,0,Colombia,1,3,7,4,4,4,1,3,3,1,Colombia,Congo DR,
49,25/06/2026,Group B,group stage,Switzerland vs Canada,Switzerland,Canada,0:00,BC Place Vancouver,Optional,"Evenly matched sides with Davies' pace as the standout individual threat in an otherwise low-narrative group opener | Switzerland bring disciplined defensive organization, technical midfield control through Xhaka's leadership, and tournament experience that consistently exceeds expectations, while Canada offer direct attacking pace, Davies' explosive wing threat, and the energy of a host nation playing competitive World Cup football for the first time in decades. The match lacks a marquee individual duel or rivalry narrative to elevate it beyond competitive group football. One direction is Canada's home energy and Davies' directness creating enough early momentum to make Switzerland uncomfortable Ã¢ÂÂ the other is Swiss defensive discipline absorbing pressure and turning the match into a controlled, low-event exercise.",2,1,Switzerland,1,2,7,4,7,8,3,3,4,5,Switzerland,Canada,
50,25/06/2026,Group B,group stage,Bosnia and Herzegovina vs Qatar,Bosnia and Herzegovina,Qatar,0:00,Seattle Stadium,Worth Watching,"BosniaÃ¢ÂÂs penalty-driven resilience meets QatarÃ¢ÂÂs structured but brittle possession game in a match that hinges on efficiency in both boxes rather than dominance | Bosnia & Herzegovina rely on compact shape, experience, and late-game mentality, with veteran presence like Edin Dzeko still anchoring their attacking threat in tight moments. Qatar under Julen Lopetegui are more structured in possession but still fragile defensively, with reliance on moments from Akram Afif to unlock games. It is a classic match match of underdogs fighting for a point, unless one of them has an upset in its pocket, making the match a gritty, defensive and low-scoring affair",3,1,Bosnia and Herzegovina,3,4,4,1,5,2,6,10,-1,-8,Bosnia and Herzegovina,Qatar,
51,25/06/2026,Group C,group stage,Scotland vs Brazil,Scotland,Brazil,3:00,Miami Stadium,Worth Watching,"Brazil's samba flair meets Scotland's relentless pressing intensity in a classic quality versus aggression contest | Brazil arrive with VinÃÂ­cius Jr's unpredictable dribbling, Rodrygo's intelligent movement, and the attacking depth of a side capable of unlocking any defensive structure, while Scotland under Clarke bring aggressive high-pressing, physical midfield commitment, and the collective intensity of a side that refuses to concede territory without a fight. Scotland won't sit deep and absorb Ã¢ÂÂ their pressing instinct means Brazil will be forced to play through pressure rather than around it. Does Brazil's technical quality dissect Scotland's aggressive press with patience and precision Ã¢ÂÂ or does Scotland's intensity disrupt Brazilian rhythm long enough to create genuine upset tension?",0,3,Brazil,3,1,3,7,1,7,4,1,-3,6,Scotland,Brazil,
52,25/06/2026,Group C,group stage,Morocco vs Haiti,Morocco,Haiti,3:00,Atlanta Stadium,Skip,"Morocco's 2022 semifinal pedigree meets Haiti's survival-first structure in a heavily one-sided group fixture | Morocco bring Hakimi's overlapping dynamism, technical midfield control, and the high-pressing system that dismantled elite opposition in 2022, while Haiti rely on compact defensive organization, physical resilience, and isolated transition moments rather than sustained attacking threat. The quality gap across every department is significant and Haiti lack the individual or collective tools to compete in open football against a side of Morocco's caliber. One direction is Morocco's technical quality breaking Haiti's defensive structure early and controlling the match comfortably Ã¢ÂÂ the other is Haiti's defensive discipline surviving long enough to keep the scoreline respectable deep into the second half.",4,2,Morocco,2,4,7,0,6,2,3,8,3,-6,Morocco,Haiti,
53,25/06/2026,Group A,group stage,Czechia vs Mexico,Czechia,Mexico,6:00,Mexico City Stadium,Optional,"Czechia's first World Cup return in 20 years meets Mexico's altitude-tested host intensity Ã¢ÂÂ knockout tension written into a group stage fixture | Czechia are a structured defensive side in a 3-4-2-1, built for defensive resilience and set-piece efficiency rather than possession dominance, while Mexico under Aguirre press aggressively but depend heavily on JimÃÂ©nez and transitional moments to create chances. The real tactical clash is tempo control Ã¢ÂÂ Czechia want chaos in limited defensive phases, Mexico want sustained pressure, but neither are elite at breaking deep blocks consistently. Guadalajara's altitude adds a physical dimension that could test Czech defensive compactness as the match progresses. Does Mexico's home intensity and altitude advantage overwhelm Czech defensive structure in the final stages Ã¢ÂÂ or does Czechia's resilience survive the pressure and drag this into a tense, low-scoring finish?",0,3,Mexico,4,1,1,9,2,6,6,0,-4,6,Czechia,Mexico,
54,25/06/2026,Group A,group stage,South Africa vs Korea Republic,South Africa,Korea Republic,6:00,Estadio Monterrey,Optional,"South Africa's 16-year return meets Korea's confidence crisis Ã¢ÂÂ narrative pressure as much as tactical identity defines this opener | South Africa bring compact defensive structure and strong transitional running under Broos, but limited European-level experience and a limited tactical Plan B when defensive structure comes under sustained pressure. South Korea arrive with a statistically strong qualifying record and a core of Son, Lee Kang-in, and Kim Min-jae, yet tactical inconsistency and fan distrust around coaching decisions has created uncertainty around their attacking identity. The key tension is execution under pressure Ã¢ÂÂ South Africa thrive when matches are open and emotional, Korea are more stable in controlled phases but have recently struggled when forced into sustained attacking dominance. Does Korea's individual quality impose the control their squad suggests they're capable of Ã¢ÂÂ or does South Africa's emotional intensity and return narrative disrupt Korean composure throughout?",1,0,South Africa,2,3,4,3,2,2,3,3,-1,-1,South Africa,Korea Republic,
55,26/06/2026,Group E,group stage,Curacao vs Ivory Coast,Curacao,Ivory Coast,1:00,Philadelphia Stadium,Optional,"A debutant island nation built on survival structure meets an Ivory Coast side loaded with explosive talent, looking to secure their qualification | CuraÃÂ§ao sit in a deep, low-block identity under Advocaat, prioritising compactness, narrow protection, and counterattacks through wide transitions, which makes them awkward but extremely limited in sustained progression. Ivory Coast bring far higher individual quality and depth, especially in wide areas and midfield dynamism, with a high-tempo 4-3-3 that can overwhelm structured low blocks if they maintain attacking discipline.",0,2,Ivory Coast,4,2,1,6,1,4,9,2,-8,2,Curacao,Ivory Coast,
56,26/06/2026,Group E,group stage,Ecuador vs Germany,Ecuador,Germany,1:00,ew York New Jersey Stadium,Must Watch,"Germany's fragile rebuild meets Ecuador's elite defensive structure and Caicedo's world-class midfield presence Ã¢ÂÂ form meets pedigree | Germany under Nagelsmann carry the attacking excitement of Wirtz and Musiala between the lines, but their defensive consistency and finishing efficiency remain tournament questions that elite opposition will expose quickly. Ecuador under Beccacece are one of the most defensively disciplined sides in the tournament, built on compact structure, Caicedo's midfield dominance, and direct transitions that punish overcommitted attacking lines. The clash is structural identity Ã¢ÂÂ German positional fluidity against Ecuadorian defensive solidity and counter-threat. Does Germany's attacking creativity unlock one of the tournament's most organized defensive setups Ã¢ÂÂ or does Ecuador's discipline and Caicedo's control neutralize German momentum and produce a genuine upset?",2,1,Ecuador,3,1,4,6,2,10,2,4,0,6,Ecuador,Germany,
57,26/06/2026,Group F,group stage,Japan vs Sweden,Japan,Sweden,4:00,Dallas Stadium,Worth Watching,"Japan's high-pressing system meets Sweden's rebuilt two-striker identity in a tactically solid group fixture, with qualification at stake for both of these teams | Japan bring aggressive pressing traps, sharp vertical transitions, and individual quality through Mitoma and Kubo that consistently punches above Asian football's perceived ceiling, while Sweden under Potter rely on Isak and GyÃÂ¶keres' two-striker movement to create space behind pressing lines rather than sustained buildup. Neither side carries deep rivalry history or marquee global star power to elevate this beyond competitive group football. One direction is Japan's pressing intensity overwhelming Sweden's defensive structure early and asserting control Ã¢ÂÂ the other is Sweden's two-striker threat catching Japan's high defensive line in transition and keeping the match genuinely open throughout.",1,1,Draw,2,3,5,4,7,7,3,7,4,0,Japan,Sweden,
58,26/06/2026,Group F,group stage,Tunisia vs Netherlands,Tunisia,Netherlands,4:00,Kansas City Stadium,Optional,"A contest where TunisiaÃ¢ÂÂs elite defense built on survival meets a Dutch side chasing long-overdue footballing closure, currently in a destructive mode  | Tunisia arrive with a low-block, structure-first identity under Lamouchi, built around a back four that conceded zero goals in qualifying and a midfield shield designed to compress space rather than control possession. The Netherlands, by contrast, bring a possession-heavy 4-3-3 system under Koeman with Premier League-dense quality across the pitch, allowing them to sustain pressure and rotate attacking patterns through wide overloads and midfield control. The game holds a stronger team against average opposition, but against sustained elite circulation, things usually shifts deeper until they eventually collapse.",1,3,Netherlands,4,1,0,7,2,10,12,4,-10,6,Tunisia,Netherlands,
59,26/06/2026,Group D,group stage,Turkiye vs USA,Turkiye,USA,7:00,Los Angeles Stadium,Worth Watching,"A glimmer of hope remains for a resurgent, talent-rich young Turkish side against a home-energized, already qualified USA  | USA arrive with pace, wide dynamism, and attacking upside through Pulisic and Balogun, lacking depth in defensive spine. Turkiye, under Montella, bring a far more defined tactical identity: high pressing, structured 4-2-3-1 fluidity, and two elite creative outlets in Arda GÃÂ¼ler and Kenan Y?ld?z, giving them superior ability to manipulate transitions and exploit space behind an aggressive opponent. The game promises drama and a Turkish side which is not just an underdog, but one of the few mid-tier teams capable of dictating rhythm against a high-energy but defensively fragile host side.",3,2,Turkiye,4,1,3,6,3,8,5,4,-2,4,Turkiye,USA,
60,26/06/2026,Group D,group stage,Paraguay vs Australia,Paraguay,Australia,7:00,San Francisco Bay Area Stadium,Worth Watching,"ParaguayÂs low-block, counter-attacking threat meets AustraliaÂs high-tempo pressing in a competitive group fixture with huge stakes for both sides | Paraguay arrive with disciplined defensive compactness, direct transitional play through Enciso and AlmirÃÂ³n, and the South American pragmatism of a side built to frustrate rather than dominate, while Australia under Arnold bring relentless work-rate, wide pressing intensity, and collective organization that consistently overachieves against technically superior opposition. Neither side carries marquee individual star power or rivalry history to elevate this beyond a competitive group stage fixture. One direction is Australia's pressing intensity overwhelming Paraguay's defensive structure and creating sustained attacking momentum Ã¢ÂÂ the other is Paraguay's compact discipline absorbing pressure and exploiting transition spaces to keep the match genuinely tight throughout.",0,0,Draw,3,2,4,4,2,2,4,2,-2,0,Paraguay,Australia,
61,27/06/2026,Group I,group stage,Norway vs France,Norway,France,0:00,Boston Stadium,Must Watch,"Haaland vs Mbappe Ã¢ÂÂ the group stage's defining individual duel between the two most dangerous forwards in world football | Norway arrive with Haaland's unmatched finishing instinct, physical dominance, and the ability to turn half-chances into goals against any defensive structure in world football, while France carry Mbappe's explosive acceleration, directness, and the clinical finishing of a reigning World Cup finalist squad built around his movement. Neither side is built for conservative football Ã¢ÂÂ Norway press high and attack vertically, France transition at devastating speed with quality across every position. The central question is whether Haaland's physical presence can impose itself on France's defensive structure before Mbappe's pace exploits the spaces Norway's high line surrenders. One moment of individual brilliance from either player could define the entire group stage narrative.",1,4,France,2,1,6,9,8,10,7,2,1,8,Norway,France,
62,27/06/2026,Group I,group stage,Senegal vs Iraq,Senegal,Iraq,0:00,Toronto Stadium,Optional,"Senegal's athletic attacking threat meets Iraq's disciplined defensive structure in a low-star, high-organization group fixture | Senegal bring physical pace, direct running through wide channels, and the collective pressing intensity of a side built on athleticism and transitional speed rather than technical buildup, while Iraq under Graham Arnold rely on compact defensive organization, disciplined low-block structure, and isolated counter-attacking moments to contain superior opposition. The star power gap is significant and Iraq's attacking threat limited Ã¢ÂÂ but Senegal's own inconsistency in breaking down organized defenses adds a layer of uncertainty. One direction is Senegal's athleticism and pressing intensity overwhelming Iraq's defensive structure progressively Ã¢ÂÂ the other is Iraq's discipline frustrating Senegal long enough to keep the match competitive deep into the second half.",5,0,Senegal,3,4,3,0,8,1,6,12,2,-11,Senegal,Iraq,
63,27/06/2026,Group H,group stage,Cabo Verde vs Saudi Arabia,Cabo Verde,Saudi Arabia,5:00,Houston Stadium,Optional,"A debutant Cape Verde side built on unity and set-piece efficiency meets a volatile Saudi Arabia team still trying to define itself after coaching upheaval | Cape Verde arrive with extreme organisation under Bubista, a compact defensive 4-2-3-1, and a heavy reliance on set pieces and direct transitions, but lack in elite-level depth and proven goalscorer. Saudi Arabia, meanwhile, are in a tactical transition under Donis, with flashes of attacking intent and better possession metrics recently, but still heavily dependent on Salem Al Dawsari and have a vulnerable defense.The game offers real competitiveness but the Saudis still possess higher technical ceiling and more controlled possession phases, which tends to matter more than set-piece reliance over 90 minutes.",0,0,Draw,2,4,3,2,2,1,2,5,0,-4,Cabo Verde,Saudi Arabia,
64,27/06/2026,Group H,group stage,Uruguay vs Spain,Uruguay,Spain,5:00,Estadio Guadalajara,Must Watch,"Bielsa's chaotic high-press Uruguay meets reigning European champions Spain, providing us with South American grit against technical supremacy | Uruguay under Bielsa bring relentless high-pressing intensity, physical directness, and NÃÂºÃÂ±ez's explosive pace in behind defensive lines Ã¢ÂÂ a combination built specifically to disrupt technically superior sides before they find their rhythm. Spain under De la Fuente arrive as Euro 2024 champions with Yamal's generational creativity, Williams' direct running, and Pedri's midfield control giving them the deepest technical squad in the tournament. The specific tactical flashpoint is NÃÂºÃÂ±ez's explosive runs against Spain's high defensive line Ã¢ÂÂ one of the most dangerous individual vs system matchups in the group stage. Does Spain's technical quality impose Euro champion's control Ã¢ÂÂ or does Bielsa's pressing chaos disrupt Spanish rhythm and turn this into the tournament's first genuine giant-killing moment?",0,1,Spain,3,1,2,7,3,5,4,0,-1,5,Uruguay,Spain,
65,27/06/2026,Group G,group stage,Egypt vs IR Iran,Egypt,IR Iran,8:00,Seattle Stadium,Worth Watching,"A tension-heavy clash between EgyptÃ¢ÂÂs defensive discipline and IranÃ¢ÂÂs physical, set-piece driven system making this contest less flair, more like a survival chess with knockout undertones | Egypt come in with one of the most structurally stable defensive records in African qualifying, conceding just twice in ten games, but depend heavily on Salah and Marmoush. Iran, despite ageing squad, remain dangerous in direct play through TaremiÃ¢ÂÂs link-up ability and strong aerial presence, with a clear reliance on set-pieces and vertical transitions rather than sustained build-up. The contest promises intrigue and has a real chance of becoming a low-margin, set-piece decided game",1,1,Draw,2,3,5,3,5,3,3,3,2,0,Egypt,IR Iran,
66,27/06/2026,Group G,group stage,New Zealand vs Belgium,New Zealand,Belgium,8:00,BC Place Vancouver,Optional,"New ZealandÃ¢ÂÂs physical underdog structure against BelgiumÃ¢ÂÂs technically loaded but tactically inconsistent golden-generation reboot. It is a good expectation gap vs execution risk contest | New Zealand rely on a simple 4-2-3-1 built around Chris Wood as a focal point, using direct play, set pieces, and compact defensive shape to stay competitive. Belgium still carry elite individual quality through De Bruyne, Doku, and Lukaku/De Ketelaere. The match may provide some sort of competitiveness although chances are it is gonna be a one-sided affair unless any sudden sustained threat from New Zealand.",1,5,Belgium,4,1,1,5,4,6,10,2,-6,4,New Zealand,Belgium,
67,28/06/2026,Group L,group stage,Panama vs England,Panama,England,2:00,New York New Jersey Stadium,Optional,"England's attacking depth meets Panama's survival-first discipline in a one-sided but Bellingham-watchable group fixture | England arrive with Bellingham's dynamic creativity, Saka's direct running, and the attacking depth of a squad built to impose technical dominance against defensively organized opposition, while Panama rely on compact low-block structure, physical resilience, and disciplined positional organization rather than any sustained attacking ambition. The quality gap across every department is significant but Panama's defensive discipline means England must earn every chance rather than finding automatic fluency. One direction is England's quality breaking Panama's structure early and controlling the match comfortably Ã¢ÂÂ the other is Panama's defensive organization frustrating English momentum long enough to make this scrappier and more disjointed than expected.",0,2,England,4,1,0,7,0,6,4,2,-4,4,Panama,England,
68,28/06/2026,Group L,group stage,Croatia vs Ghana,Croatia,Ghana,2:00,Philadelphia Stadium,Optional,"Modric's potential final World Cup chapter meets Ghana's athletic transition threat in a nostalgia-driven fixture where stakes cannot be any higher | Croatia arrive with Modric's aging but still intelligent orchestration, tournament experience, and a collective defensive resilience built on decades of knockout football, while Ghana bring athletic runners, physical intensity, and direct transitional play through Kudus rather than sustained technical buildup. The match lacks the individual matchups or rivalry narrative to generate sustained casual interest Ã¢ÂÂ Croatia's pragmatic style against Ghana's directness risks producing a fragmented, low-tempo contest. One direction is Modric's experience controlling rhythm and Croatia's defensive structure keeping Ghana's transition threat quiet Ã¢ÂÂ the other is Ghana's athleticism exploiting Croatian defensive age and creating enough chaos to keep the match genuinely competitive.",2,1,Croatia,2,3,6,4,5,2,5,2,0,0,Croatia,Ghana,
69,28/06/2026,Group K,group stage,Colombia vs Portugal,Colombia,Portugal,4:30,Miami Stadium,Must Watch,"Ronaldo's farewell tournament intensity meets Colombia's fluid attacking creativity in a high-star group stage showdown | Portugal arrive with Ronaldo's experienced finishing presence, Bruno Fernandes' creative range, and an attacking structure built on wide overloads and clinical transition finishing, while Colombia bring Luis DÃÂ­az's direct explosive running, James RodrÃÂ­guez's creative orchestration, and a fluid 4-2-3-1 system capable of matching Portugal's technical quality in open phases. Both sides carry genuine match-winners and neither is built for conservative football Ã¢ÂÂ the result is a naturally open, high-tempo contest between two attack-minded European and South American forces. Does Ronaldo's champion mentality and Portuguese structure impose control Ã¢ÂÂ or does Colombia's fluid creativity and DÃÂ­az's directness expose Portuguese defensive vulnerabilities in transition?",0,0,Draw,1,2,7,5,4,6,1,1,3,5,Colombia,Portugal,
70,28/06/2026,Group K,group stage,Congo DR vs Uzbekistan,Congo DR,Uzbekistan,4:30,Atlanta Stadium,Skip,"Two tournament debutants meet in a low-star, low-stakes fixture with limited entertainment history between these nations | Congo DR bring athletic pace, physical intensity, and direct transitional play built on individual running rather than structured buildup, while Uzbekistan under Cannavaro arrive at their first World Cup with a disciplined 5-4-1 defensive block and conservative attacking intent designed to limit space and absorb pressure. Neither side carries globally recognizable stars or rivalry narrative to elevate this beyond a competitive but low-profile group fixture. One direction is Congo DR's athleticism and direct running creating enough transition chances to break Uzbekistan's defensive structure Ã¢ÂÂ the other is Uzbekistan's disciplined compactness keeping this goalless long enough to produce genuine late tension from set pieces.",3,1,Congo DR,3,4,4,0,4,2,3,11,1,-9,Congo DR,Uzbekistan,
71,28/06/2026,Group J,group stage,Algeria vs Austria,Algeria,Austria,7:00,Kansas City Stadium,Worth Watching,"Mahrez's creative threat meets Rangnick's relentless gegenpress in an underrated tactical collision between contrasting football identities | Algeria bring Mahrez's experienced creative intelligence, technical midfield quality, and a disciplined defensive structure capable of absorbing pressure and striking through individual moments of brilliance, while Austria under Rangnick press aggressively through Sabitzer-led midfield rotations designed to force turnovers and punish teams that can't play through sustained pressure. The tactical contrast is sharp Ã¢ÂÂ Algeria's individual creativity against Austria's collective pressing system creates a genuine battle between style and structure. Does Mahrez's intelligence find the spaces between Austria's pressing lines before the gegenpress overwhelms Algerian composure Ã¢ÂÂ or does Rangnick's system neutralize individual quality and impose collective dominance throughout?",3,3,Draw,3,2,4,4,5,6,7,6,-2,0,Algeria,Austria,
72,28/06/2026,Group J,group stage,Jordan vs Argentina,Jordan,Argentina,7:00,Dallas Stadium,Optional,"Messi's World Cup farewell tour meets Jordan's organized survival structure in a star-driven but heavily mismatched group opener | Argentina arrive as defending World Cup champions with Messi's creative orchestration, Lautaro MartÃÂ­nez's clinical finishing, and the collective confidence of a squad that has won everything together in recent years, while Jordan compete in their first World Cup with a disciplined defensive structure, organized low-block compactness, and counter-attacking intent designed to limit the damage against elite opposition. The quality gap is significant across every department and Jordan's attacking ambition is severely limited. One direction is Argentina's champion quality breaking Jordan's defensive structure early and imposing comfortable control Ã¢ÂÂ the other is Jordan's discipline and defensive organization keeping Argentina's scoring opportunities limited long enough to make this genuinely uncomfortable for the favorites.",1,3,Argentina,4,1,0,9,3,8,8,1,-5,7,Jordan,Argentina,
73,29/06/2026,,Round of 32,South Africa vs Canada,South Africa,Canada,0:00,Los Angeles Stadium,Optional,Two defensively cautious sides unlikely to produce the flair or cutting edge needed for a compelling spectacle.,0,1,Canada,0,0,0,0,0,0,0,0,0,0,2A,2B,confirmed
74,29/06/2026,,Round of 32,Brazil vs Japan,Brazil,Japan,22:00,Houston Stadium,Must Watch,"Brazil's samba flair collides with Japan's disciplined, high-pressing system � a tactical and technical showcase of contrasting styles.",2,1,Brazil,0,0,0,0,0,0,0,0,0,0,1C,2F,confirmed
